,Postal Code,Latitude,Longitude,Borough,Neighborhood
78,M6K,43.6368472,-79.42819140000002,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
79,M6L,43.713756200000006,-79.4900738,North York,"North Park, Maple Leaf Park, Upwood Park"
80,M6M,43.6911158,-79.47601329999999,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
81,M6N,43.67318529999999,-79.48726190000001,York,"Runnymede, The Junction North"
82,M6P,43.6616083,-79.46476329999999,West Toronto,"High Park, The Junction South"
83,M6R,43.6489597,-79.456325,West Toronto,"Parkdale, Roncesvalles"
84,M6S,43.6515706,-79.4844499,West Toronto,"Runnymede, Swansea"
85,M7A,43.6623015,-79.3894938,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
86,M7R,43.6369656,-79.61581899999999,Mississauga,Canada Post Gateway Processing Centre
87,M7Y,43.6627439,-79.321558,East Toronto,Business reply mail Processing Centre
88,M8V,43.6056466,-79.50132070000001,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
89,M8W,43.60241370000001,-79.54348409999999,Etobicoke,"Alderwood, Long Branch"
90,M8X,43.653653600000005,-79.5069436,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
91,M8Y,43.6362579,-79.49850909999999,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
92,M8Z,43.6288408,-79.52099940000001,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
93,M9A,43.6678556,-79.53224240000002,Etobicoke,Islington Avenue
94,M9B,43.6509432,-79.55472440000001,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
95,M9C,43.6435152,-79.57720079999999,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
96,M9L,43.7563033,-79.56596329999999,North York,Humber Summit
97,M9M,43.7247659,-79.53224240000002,North York,"Humberlea, Emery"
98,M9N,43.706876,-79.51818840000001,York,Weston
99,M9P,43.696319,-79.53224240000002,Etobicoke,Westmount
100,M9R,43.6889054,-79.55472440000001,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
101,M9V,43.739416399999996,-79.5884369,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
102,M9W,43.706748299999994,-79.5940544,Etobicoke,Northwest
